Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,03/12/11,Aston Villa,Man United,0.0,1.0,A,0.0,1.0,A,L Probert,7.0,11.0,3.0,5.0,4.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0
E0,18/12/11,QPR,Man United,0.0,2.0,A,0.0,1.0,A,H Webb,11.0,19.0,3.0,12.0,5.0,7.0,5.0,10.0,1.0,2.0,0.0,0.0
E0,21/12/11,Fulham,Man United,0.0,5.0,A,0.0,3.0,A,M Halsey,13.0,14.0,8.0,12.0,7.0,8.0,3.0,10.0,1.0,0.0,0.0,0.0
E0,04/01/12,Newcastle,Man United,3.0,0.0,H,1.0,0.0,H,H Webb,10.0,6.0,6.0,6.0,16.0,15.0,4.0,4.0,1.0,2.0,0.0,0.0
E0,22/01/12,Arsenal,Man United,1.0,2.0,A,0.0,1.0,A,M Dean,12.0,9.0,6.0,5.0,15.0,6.0,0.0,5.0,5.0,2.0,0.0,0.0
E0,05/02/12,Chelsea,Man United,3.0,3.0,D,1.0,0.0,H,H Webb,19.0,14.0,10.0,10.0,14.0,13.0,6.0,6.0,2.0,1.0,0.0,0.0
E0,26/02/12,Norwich,Man United,1.0,2.0,A,0.0,1.0,A,A Marriner,16.0,11.0,7.0,9.0,9.0,10.0,4.0,4.0,1.0,2.0,0.0,0.0
E0,04/03/12,Tottenham,Man United,1.0,3.0,A,0.0,1.0,A,M Atkinson,18.0,6.0,9.0,5.0,8.0,10.0,7.0,3.0,1.0,2.0,0.0,0.0
E0,18/03/12,Wolves,Man United,0.0,5.0,A,0.0,3.0,A,A Taylor,7.0,22.0,3.0,18.0,6.0,11.0,4.0,7.0,1.0,1.0,1.0,0.0
E0,02/04/12,Blackburn,Man United,0.0,2.0,A,0.0,0.0,D,H Webb,11.0,14.0,6.0,6.0,8.0,5.0,2.0,10.0,1.0,1.0,0.0,0.0
E0,11/04/12,Wigan,Man United,1.0,0.0,H,0.0,0.0,D,P Dowd,11.0,8.0,8.0,3.0,8.0,14.0,7.0,3.0,1.0,2.0,0.0,0.0
E0,30/04/12,Man City,Man United,1.0,0.0,H,1.0,0.0,H,A Marriner,12.0,4.0,5.0,2.0,11.0,14.0,8.0,8.0,3.0,2.0,0.0,0.0
E0,13/05/12,Sunderland,Man United,0.0,1.0,A,0.0,1.0,A,H Webb,6.0,17.0,5.0,9.0,14.0,11.0,1.0,9.0,3.0,3.0,0.0,0.0
E0,25/08/12,Man United,Fulham,3.0,2.0,H,3.0,1.0,H,K Friend,20.0,14.0,11.0,11.0,12.0,7.0,8.0,8.0,0.0,1.0,0.0,0.0
E0,15/09/12,Man United,Wigan,4.0,0.0,H,0.0,0.0,D,M Oliver,17.0,8.0,10.0,4.0,10.0,14.0,5.0,5.0,2.0,2.0,0.0,0.0
E0,29/09/12,Man United,Tottenham,2.0,3.0,A,0.0,2.0,A,C Foy,15.0,10.0,8.0,6.0,5.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0
E0,20/10/12,Man United,Stoke,4.0,2.0,H,2.0,1.0,H,A Taylor,13.0,8.0,8.0,6.0,9.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0
E0,03/11/12,Man United,Arsenal,2.0,1.0,H,1.0,0.0,H,M Dean,11.0,7.0,7.0,3.0,13.0,13.0,6.0,1.0,5.0,3.0,0.0,1.0
E0,24/11/12,Man United,QPR,3.0,1.0,H,0.0,0.0,D,L Probert,15.0,10.0,10.0,6.0,6.0,10.0,9.0,7.0,1.0,1.0,0.0,0.0
E0,28/11/12,Man United,West Ham,1.0,0.0,H,1.0,0.0,H,M Jones,23.0,9.0,13.0,3.0,7.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0
E0,15/12/12,Man United,Sunderland,3.0,1.0,H,2.0,0.0,H,C Foy,15.0,13.0,6.0,10.0,13.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0
E0,26/12/12,Man United,Newcastle,4.0,3.0,H,1.0,2.0,A,M Dean,16.0,16.0,10.0,11.0,12.0,16.0,2.0,2.0,3.0,3.0,0.0,0.0
E0,29/12/12,Man United,West Brom,2.0,0.0,H,1.0,0.0,H,J Moss,17.0,13.0,14.0,9.0,9.0,7.0,9.0,6.0,1.0,0.0,0.0,0.0
E0,13/01/13,Man United,Liverpool,2.0,1.0,H,1.0,0.0,H,H Webb,15.0,12.0,10.0,5.0,14.0,16.0,3.0,1.0,1.0,4.0,0.0,0.0
