Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,25/11/12,Chelsea,Man City,0.0,0.0,D,0.0,0.0,D,C Foy,5.0,11.0,1.0,7.0,9.0,16.0,6.0,11.0,0.0,3.0,0.0,0.0
E0,28/11/12,Chelsea,Fulham,0.0,0.0,D,0.0,0.0,D,A Taylor,17.0,8.0,13.0,7.0,10.0,11.0,10.0,2.0,3.0,0.0,0.0,0.0
E0,23/12/12,Chelsea,Aston Villa,8.0,0.0,H,3.0,0.0,H,P Dowd,24.0,7.0,18.0,4.0,6.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0
E0,02/01/13,Chelsea,QPR,0.0,1.0,A,0.0,0.0,D,L Mason,23.0,8.0,11.0,5.0,12.0,8.0,14.0,2.0,1.0,1.0,0.0,0.0
E0,16/01/13,Chelsea,Southampton,2.0,2.0,D,2.0,0.0,H,M Oliver,19.0,7.0,10.0,3.0,10.0,11.0,4.0,3.0,1.0,0.0,0.0,0.0
E0,20/01/13,Chelsea,Arsenal,2.0,1.0,H,2.0,0.0,H,M Atkinson,13.0,12.0,8.0,8.0,10.0,11.0,3.0,9.0,2.0,1.0,0.0,0.0
E0,09/02/13,Chelsea,Wigan,4.0,1.0,H,1.0,0.0,H,M Dean,25.0,13.0,17.0,10.0,9.0,13.0,10.0,6.0,1.0,2.0,0.0,0.0
E0,02/03/13,Chelsea,West Brom,1.0,0.0,H,1.0,0.0,H,K Friend,25.0,8.0,19.0,4.0,12.0,16.0,9.0,7.0,1.0,2.0,0.0,0.0
E0,17/03/13,Chelsea,West Ham,2.0,0.0,H,1.0,0.0,H,M Oliver,24.0,15.0,14.0,9.0,5.0,14.0,5.0,5.0,0.0,2.0,0.0,0.0
E0,07/04/13,Chelsea,Sunderland,2.0,1.0,H,0.0,1.0,A,N Swarbrick,14.0,7.0,7.0,3.0,9.0,15.0,8.0,5.0,0.0,2.0,0.0,0.0
E0,28/04/13,Chelsea,Swansea,2.0,0.0,H,2.0,0.0,H,M Clattenburg,21.0,11.0,14.0,8.0,9.0,10.0,6.0,3.0,1.0,3.0,0.0,0.0
E0,08/05/13,Chelsea,Tottenham,2.0,2.0,D,2.0,1.0,H,M Dean,15.0,13.0,8.0,6.0,6.0,16.0,6.0,5.0,1.0,2.0,0.0,0.0
E0,19/05/13,Chelsea,Everton,2.0,1.0,H,1.0,1.0,D,A Taylor,20.0,16.0,10.0,9.0,7.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0
E0,19/08/12,Wigan,Chelsea,0.0,2.0,A,0.0,2.0,A,M Jones,12.0,5.0,4.0,3.0,16.0,11.0,7.0,1.0,2.0,2.0,0.0,0.0
E0,15/09/12,QPR,Chelsea,0.0,0.0,D,0.0,0.0,D,A Marriner,10.0,13.0,6.0,9.0,16.0,17.0,2.0,4.0,0.0,2.0,0.0,0.0
E0,29/09/12,Arsenal,Chelsea,1.0,2.0,A,1.0,1.0,D,M Atkinson,14.0,10.0,5.0,5.0,14.0,13.0,6.0,5.0,2.0,3.0,0.0,0.0
E0,20/10/12,Tottenham,Chelsea,2.0,4.0,A,0.0,1.0,A,M Dean,23.0,11.0,16.0,7.0,7.0,8.0,7.0,4.0,3.0,2.0,0.0,0.0
E0,03/11/12,Swansea,Chelsea,1.0,1.0,D,0.0,0.0,D,K Friend,9.0,11.0,7.0,7.0,12.0,9.0,8.0,6.0,4.0,1.0,0.0,0.0
E0,17/11/12,West Brom,Chelsea,2.0,1.0,H,1.0,1.0,D,M Oliver,8.0,19.0,6.0,12.0,7.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0
E0,01/12/12,West Ham,Chelsea,3.0,1.0,H,0.0,1.0,A,M Atkinson,16.0,16.0,13.0,9.0,15.0,6.0,14.0,5.0,1.0,2.0,0.0,0.0
E0,08/12/12,Sunderland,Chelsea,1.0,3.0,A,0.0,2.0,A,M Halsey,14.0,11.0,10.0,5.0,11.0,14.0,11.0,1.0,1.0,3.0,0.0,0.0
E0,26/12/12,Norwich,Chelsea,0.0,1.0,A,0.0,1.0,A,J Moss,8.0,20.0,4.0,11.0,7.0,7.0,5.0,7.0,1.0,1.0,0.0,0.0
E0,30/12/12,Everton,Chelsea,1.0,2.0,A,1.0,1.0,D,H Webb,12.0,15.0,6.0,10.0,14.0,12.0,7.0,7.0,2.0,3.0,0.0,0.0
E0,12/01/13,Stoke,Chelsea,0.0,4.0,A,0.0,1.0,A,A Marriner,11.0,11.0,5.0,9.0,13.0,9.0,6.0,7.0,1.0,0.0,0.0,0.0
